station,y,u
-0.2286,0.008529999293,0.8470000029
-0.2286,0.01031000074,0.8859999776
-0.2286,0.01285000052,0.9269999862
-0.2286,0.01539000031,0.9610000253
-0.2286,0.01793000102,0.9679999948
-0.2286,0.02046999894,0.9710000157
-0.2286,0.02301000059,0.9689999819
-0.2286,0.02554999851,0.9710000157
-0.2286,0.02809000015,0.9710000157
-0.2286,0.03062999994,0.9739999771
-0.2286,0.03316999972,0.9789999723
-0.2286,0.0357099995,0.9779999852
-0.2286,0.03824999928,0.9779999852
-0.2286,0.04078999907,0.9810000062
-0.2286,0.04586999863,0.9850000143
-0.2286,0.05095000193,0.9900000095
-0.2286,0.05602999777,0.9950000048
-0.2286,0.06111000106,1.001000047
-0.2286,0.06619000435,1.014000058
-0.1524,0.0,0.0
-0.1524,0.000560000015,0.3670000136
-0.1524,0.0006900000153,0.3799999952
-0.1524,0.0008099999977,0.3880000114
-0.1524,0.0009399999981,0.4009999931
-0.1524,0.001069999998,0.4059999883
-0.1524,0.001320000039,0.423999995
-0.1524,0.00157000008,0.4410000145
-0.1524,0.001830000081,0.4499999881
-0.1524,0.002080000006,0.4679999948
-0.1524,0.00233999989,0.4810000062
-0.1524,0.002589999931,0.4920000136
-0.1524,0.002839999972,0.503000021
-0.1524,0.003099999856,0.5130000114
-0.1524,0.003609999781,0.5329999924
-0.1524,0.004110000096,0.5519999862
-0.1524,0.004619999789,0.5720000267
-0.1524,0.005129999947,0.5860000253
-0.1524,0.00588999968,0.6100000143
-0.1524,0.006649999879,0.6340000033
-0.1524,0.007420000155,0.6549999714
-0.1524,0.00868999958,0.6840000153
-0.1524,0.01046000049,0.7279999852
-0.1524,0.01300000027,0.77700001
-0.1524,0.01554000005,0.8270000219
-0.1524,0.01807999983,0.8550000191
-0.1524,0.02062000148,0.8730000257
-0.1524,0.0231599994,0.8769999743
-0.1524,0.02570000105,0.8809999824
-0.1524,0.02823999897,0.8809999824
-0.1524,0.03078000061,0.8809999824
-0.1524,0.03331999853,0.8880000114
-0.1524,0.03586000204,0.8870000243
-0.1524,0.03840000182,0.8889999986
-0.1524,0.04093999788,0.8909999728
-0.1524,0.04602000117,0.8939999938
-0.1524,0.05109999701,0.8949999809
-0.1524,0.05618000031,0.8920000196
-0.1524,0.06125999987,0.9079999924
-0.1524,0.06633999944,0.9120000005
-0.1524,0.06887999922,0.9110000134
-0.0762,0.0,0.0
-0.0762,0.001519999932,0.2460000068
-0.0762,0.002790000057,0.2919999957
-0.0762,0.006599999964,0.4169999957
-0.0762,0.01040999964,0.5180000067
-0.0762,0.01549000014,0.648999989
-0.0762,0.02056999877,0.7329999804
-0.0762,0.0256500002,0.7860000134
-0.0762,0.03072999977,0.7940000296
-0.0762,0.03581000119,0.7940000296
-0.0762,0.04089000076,0.7940000296
-0.0762,0.04597000033,0.7940000296
-0.0762,0.05104999989,0.7950000167
-0.0762,0.05612999946,0.7919999957
-0.0762,0.06120999902,0.7900000215
-0.0762,0.06628999859,0.7900000215
-0.0762,0.06882999837,0.7900000215
-0.0127,0.0,0.0
-0.0127,0.001519999932,0.07400000095
-0.0127,0.002790000057,0.1019999981
-0.0127,0.006599999964,0.1879999936
-0.0127,0.01040999964,0.2809999883
-0.0127,0.01549000014,0.4140000045
-0.0127,0.02056999877,0.5389999747
-0.0127,0.0256500002,0.628000021
-0.0127,0.03072999977,0.7110000253
-0.0127,0.03581000119,0.7340000272
-0.0127,0.04089000076,0.7340000272
-0.0127,0.04597000033,0.7329999804
-0.0127,0.05104999989,0.7350000143
-0.0127,0.05612999946,0.7329999804
-0.0127,0.06120999902,0.7310000062
-0.0127,0.06628999859,0.7300000191
-0.0127,0.07137000561,0.7340000272
0.0127,0.0,0.0
0.0127,0.001519999932,0.03799999878
0.0127,0.002790000057,0.05700000003
0.0127,0.006599999964,0.1230000034
0.0127,0.01040999964,0.2109999955
0.0127,0.01549000014,0.3319999874
0.0127,0.02056999877,0.4629999995
0.0127,0.0256500002,0.57099998
0.0127,0.03072999977,0.6589999795
0.0127,0.03581000119,0.7129999995
0.0127,0.04089000076,0.7239999771
0.0127,0.04597000033,0.72299999
0.0127,0.05104999989,0.7220000029
0.0127,0.05612999946,0.7210000157
0.0127,0.06120999902,0.7189999819
0.0127,0.06628999859,0.7189999819
0.0127,0.07137000561,0.7160000205
0.0254,0.0,0.0
0.0254,0.001519999932,0.01300000027
0.0254,0.002790000057,0.02899999917
0.0254,0.006599999964,0.08600000292
0.0254,0.01040999964,0.1609999985
0.0254,0.01549000014,0.2890000045
0.0254,0.02056999877,0.4189999998
0.0254,0.0256500002,0.5360000134
0.0254,0.03072999977,0.6349999905
0.0254,0.03581000119,0.6970000267
0.0254,0.04089000076,0.7179999948
0.0254,0.04597000033,0.7179999948
