# 3D Unsteady Flow: approximation to Ekman layer
# (P.R. Spalart, J.Fluid Mech. 205, 319)
# Free-stream velocity components are U,inf = U,0 cos(ft)
# and W,inf = U,0 sin(ft). U and W (and all six
# Reynolds stresses) are non-zero, but are functions of y and t only,
# not of x and z (so V = 0 by continuity). A program capable of computing
# steady flow over infinite swept wings (z coordinate along generators
# and d[ ]/dz=0) could be adapted: Ud[ ]/x becomes d[ ]/dt; Vd[ ]/dy
# and Wd[ ]/dz are zero - for different reasons - and the program can be
# stepped in time instead of marching in x.
# 
# Notation is explained in the JFM paper, especially para. 3.1:
# the defining Reynolds number, Rl, is U,0 [2/(f*nu)]^(1/2)
# where f is in rad/sec not Hz: it is independent of time.
# The length scale,delta = (Utau)/f, is quite close to the
# physical thickness: y- = y/delta. Rt = (Utau)*(delta)/nu. Phi0 (phi* in
# the JFM paper, eq. 18) is related to the direction of the surface shear
# stress, alpha = lim tan^1 (W/U) by eq. 18: it is not relevant to the
# computations.
# 
#  Rl            Utau     Phi0      Rt 
#  766.51428   0.05580   0.30867 914.74451
# 
# 
# === Part 1 ===
#   FIG 5 AND 7:
#      y-          U/Uref      W/Uref      yplus       U+          W+
  0.1383e+00  0.9350e+00  0.1580e+00  0.1265e+03  0.1682e+02 -0.2393e+01
  0.1469e+00  0.9426e+00  0.1538e+00  0.1344e+03  0.1693e+02 -0.2506e+01
  0.1558e+00  0.9498e+00  0.1491e+00  0.1425e+03  0.1703e+02 -0.2625e+01
  0.1651e+00  0.9565e+00  0.1443e+00  0.1510e+03  0.1712e+02 -0.2745e+01
  0.1748e+00  0.9633e+00  0.1391e+00  0.1599e+03  0.1720e+02 -0.2869e+01
  0.1849e+00  0.9699e+00  0.1337e+00  0.1691e+03  0.1729e+02 -0.2997e+01
  0.1953e+00  0.9763e+00  0.1283e+00  0.1787e+03  0.1737e+02 -0.3125e+01
  0.2062e+00  0.9829e+00  0.1227e+00  0.1886e+03  0.1745e+02 -0.3257e+01
  0.2175e+00  0.9898e+00  0.1170e+00  0.1990e+03  0.1754e+02 -0.3391e+01
  0.2293e+00  0.9965e+00  0.1114e+00  0.2097e+03  0.1762e+02 -0.3523e+01
  0.2416e+00  0.1003e+01  0.1059e+00  0.2210e+03  0.1771e+02 -0.3654e+01
  0.2543e+00  0.1010e+01  0.1003e+00  0.2326e+03  0.1779e+02 -0.3786e+01
