 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  
   500.000  -150.000   76.1878
   500.000  -100.000   64.5962
   500.000   -50.000   58.0140
   500.000     0.000   56.3225
   500.000    50.000   59.0024
   500.000   100.000   66.3418
   500.000   150.000   77.1500
   500.000   200.000   94.5421
   500.000   250.000  115.2786
   500.000   300.000  141.3728
   500.000   350.000  170.7336

   525.000  -350.000  173.8113
   525.000  -300.000  143.8956
   525.000  -250.000  117.4266
   525.000  -200.000   94.4899
   525.000  -150.000   76.5516
   525.000  -100.000   64.7108
   525.000   -50.000   58.1137
   525.000     0.000   56.5891
   525.000    50.000   58.6106
   525.000   100.000   66.1884
   525.000   150.000   77.1169
   525.000   200.000   95.2385
   525.000   250.000  116.5375
   525.000   300.000  144.3806
   525.000   350.000  174.2382

   550.000  -350.000  178.3898
   550.000  -300.000  147.7258
   550.000  -250.000  119.8789
   550.000  -200.000   96.1534
   550.000  -150.000   77.3884
   550.000  -100.000   65.4607
   550.000   -50.000   58.2683
   550.000     0.000   56.0942
   550.000    50.000   58.6104
   550.000   100.000   66.3017
   550.000   150.000   77.3721
   550.000   200.000   94.4661
   550.000   250.000  117.4883
   550.000   300.000  145.4750
   550.000   350.000  177.3547

   575.000  -350.000  181.9111
   575.000  -300.000  149.2981
   575.000  -250.000  120.9485
   575.000  -200.000   97.1247
   575.000  -150.000   77.4148
   575.000  -100.000   65.9405
   575.000   -50.000   58.2834
   575.000     0.000   55.5712
   575.000    50.000   58.4391
   575.000   100.000   66.0728
   575.000   150.000   78.0065
   575.000   200.000   95.5061
   575.000   250.000  118.0898
   575.000   300.000  147.1447
   575.000   350.000  179.3328

   600.000  -350.000  182.6113
   600.000  -300.000  149.9947
   600.000  -250.000  120.6567
   600.000  -200.000   95.8325
   600.000  -150.000   75.7556
   600.000  -100.000   63.6241
   600.000   -50.000   55.7204
   600.000     0.000   53.8833
   600.000    50.000   56.3563
   600.000   100.000   64.0575
   600.000   150.000   75.7098
   600.000   200.000   93.7801
   600.000   250.000  116.6479
   600.000   300.000  145.5165
   600.000   350.000  177.7256

   625.000  -350.000  182.8816
   625.000  -300.000  150.0053
   625.000  -250.000  119.8445
   625.000  -200.000   95.0520
