 Filename:   3DC_CFC_02.DAT      

 3D converging nozzle (3Dc)
 Wall shear stress 
 Pitot tube D=1 mm

 Dinamic pressure                 999.98 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.1 mbar
 Air temperature (start)            31.8 C   
 Re 1m /10.E6                     2.4987
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.17222E-04 m**2/s

 Date            26-JUL-90
 Time            12:49:22

*****************************************************

 y [mm] =     0.00

 x [mm] =     0.00

 temperature   [C] =     31.8

 density [kg/m**3] =  1.09126
  35.000    2.3731
  40.000    2.3690
  45.000    2.3872
  50.000    2.3876
  55.000    2.3869
  60.000    2.3816
  65.000    2.3873
  70.000    2.3917
  75.000    2.3933
  80.000    2.3994
  85.000    2.3838
  90.000    2.3888
  95.000    2.4042
 100.000    2.3905
 105.000    2.4205
 110.000    2.4171
 115.000    2.4135
 120.000    2.4417
 125.000    2.4186
 130.000    2.4334
 135.000    2.4362
 140.000    2.4502
 145.000    2.4600
 150.000    2.4684
 155.000    2.4815
 160.000    2.4843
 165.000    2.5077
 170.000    2.5210
 175.000    2.5306
 180.000    2.5553
 185.000    2.5674
 190.000    2.5871
 195.000    2.6200

*****************************************************

 y [mm] =     0.00

 x [mm] =  1100.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08901

 z [mm]   Cf*1000[-] 

-195.000    2.7218
-190.000    2.7274
-185.000    2.6871
-180.000    2.6460
-175.000    2.6027
-170.000    2.5899
-165.000    2.5830
-160.000    2.5547
-155.000    2.5315
-150.000    2.5219
-145.000    2.5043
-140.000    2.4675
-135.000    2.4454
-130.000    2.4396
-125.000    2.4151
-120.000    2.4103
-115.000    2.4043
-110.000    2.3863
-105.000    2.3934
-100.000    2.3665
 -95.000    2.3605
 -90.000    2.3667
 -85.000    2.3464
 -80.000    2.3499
 -75.000    2.3327
 -70.000    2.3321
 -65.000    2.3306
 -60.000    2.3387
 -55.000    2.3122
 -50.000    2.3206
 -45.000    2.3236
 -40.000    2.2967
 -35.000    2.3236
 -30.000    2.3312
 -25.000    2.3074
 -20.000    2.3196
 -15.000    2.3044
 -10.000    2.2981
  -5.000    2.2822
   0.000    2.3104
   5.000    2.3109
  10.000    2.2974
  15.000    2.2853
  20.000    2.2838
  25.000    2.2796
  30.000    2.3147
  35.000    2.3024
  40.000    2.3038
  45.000    2.3046
  50.000    2.3032
  55.000    2.3163
  60.000    2.3094
  65.000    2.3231
  70.000    2.3063
  75.000    2.3138
  80.000    2.2976
  85.000    2.3268
  90.000    2.3293
  95.000    2.3445
 100.000    2.3706
 105.000    2.3799
 110.000    2.3558
 115.000    2.3994
 120.000    2.3762
 125.000    2.4035
 130.000    2.4262
 135.000    2.4604
 140.000    2.4474
 145.000    2.4649
 150.000    2.4835
 155.000    2.5148
 160.000    2.5480
 165.000    2.5642
 170.000    2.5731
 175.000    2.6100
 180.000    2.6759
 185.000    2.6685
 190.000    2.6936
 195.000    2.7156

*****************************************************

 y [mm] =     0.00

 x [mm] =  1250.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08886

 z [mm]   Cf*1000[-] 

-195.000    3.3061
-190.000    3.0856
-185.000    2.9013
-180.000    2.7590
-175.000    2.6980
-170.000    2.6657
-165.000    2.6407
-160.000    2.6227
-155.000    2.5672
-150.000    2.5519
-145.000    2.5037
-140.000    2.4560
-135.000    2.4609
-130.000    2.4133
-125.000    2.4075
-120.000    2.3918
-115.000    2.3756
-110.000    2.3756
-105.000    2.3425
-100.000    2.3303
 -95.000    2.3293
 -90.000    2.3262
 -85.000    2.2805
 -80.000    2.2860
 -75.000    2.2655
 -70.000    2.2711
 -65.000    2.2384
 -60.000    2.2427
 -55.000    2.2345
 -50.000    2.2438
 -45.000    2.2291
 -40.000    2.2286
 -35.000    2.2180
 -30.000    2.2232
 -25.000    2.1977
 -20.000    2.2186
 -15.000    2.2082
 -10.000    2.1921
  -5.000    2.2132
   0.000    2.2183
   5.000    2.2055
  10.000    2.1977
  15.000    2.2075
  20.000    2.2056
  25.000    2.2166
  30.000    2.2260
  35.000    2.2035
  40.000    2.2157
  45.000    2.2203
  50.000    2.2135
  55.000    2.2170
  60.000    2.1954
  65.000    2.2195
  70.000    2.2187
  75.000    2.2244
  80.000    2.2475
  85.000    2.2524
  90.000    2.2593
  95.000    2.2709
 100.000    2.2727
 105.000    2.2915
 110.000    2.3241
 115.000    2.3467
 120.000    2.3566
 125.000    2.3629
 130.000    2.3848
 135.000    2.4298
 140.000    2.4479
 145.000    2.4753
 150.000    2.5170
 155.000    2.5509
 160.000    2.5786
 165.000    2.6057
 170.000    2.6417
 175.000    2.6885
 180.000    2.8316
 185.000    3.0018
 190.000    3.1912
 195.000    3.3944

*****************************************************

 y [mm] =     0.00

 x [mm] =  1500.00

 temperature   [C] =     32.5

 density [kg/m**3] =  1.08847

 z [mm]   Cf*1000[-] 

-195.000    3.5205
-190.000    3.6121
-185.000    3.5332
-180.000    3.4375
-175.000    3.2518
-170.000    3.0147
-165.000    2.7775
-160.000    2.5991
-155.000    2.4686
-150.000    2.4357
-145.000    2.4319
-140.000    2.4239
-135.000    2.3859
-130.000    2.3454
-125.000    2.2982
-120.000    2.2875
-115.000    2.2713
-110.000    2.2333
-105.000    2.2123
-100.000    2.2055
 -95.000    2.1886
 -90.000    2.1794
 -85.000    2.1531
 -80.000    2.1677
 -75.000    2.1326
 -70.000    2.1345
 -65.000    2.1207
 -60.000    2.1238
 -55.000    2.1043
 -50.000    2.1105
 -45.000    2.0920
 -40.000    2.0793
 -35.000    2.0911
 -30.000    2.1149
 -25.000    2.1044
 -20.000    2.0935
 -15.000    2.0903
 -10.000    2.0651
  -5.000    2.0691
   0.000    2.0951
   5.000    2.0713
  10.000    2.0828
  15.000    2.0566
  20.000    2.0800
  25.000    2.0799
  30.000    2.0839
  35.000    2.0847
  40.000    2.0789
  45.000    2.0908
  50.000    2.0821
  55.000    2.0732
  60.000    2.0788
  65.000    2.0908
  70.000    2.1054
  75.000    2.1236
  80.000    2.1139
  85.000    2.1312
  90.000    2.1232
  95.000    2.1334
 100.000    2.1375
 105.000    2.1750
 110.000    2.1886
 115.000    2.1967
 120.000    2.2249
 125.000    2.2724
 130.000    2.2907
 135.000    2.3409
 140.000    2.3620
 145.000    2.3535
 150.000    2.4134
 155.000    2.5326
 160.000    2.6879
 165.000    2.9046
 170.000    3.1186
 175.000    3.3400
 180.000    3.4682
 185.000    3.6028
 190.000    3.5403
 195.000    3.3826

*****************************************************

 y [mm] =     0.00

 x [mm] =  1750.00

 temperature   [C] =     32.5

 density [kg/m**3] =  1.08831

 z [mm]   Cf*1000[-] 

-195.000    2.7984
-190.000    3.1005
-185.000    3.2987
-180.000    3.3782
-175.000    3.3643
-170.000    3.2457
-165.000    3.0914
-160.000    2.8892
-155.000    2.6462
-150.000    2.4856
-145.000    2.3456
-140.000    2.2792
-135.000    2.2896
-130.000    2.2815
-125.000    2.2636
-120.000    2.2204
-115.000    2.2007
-110.000    2.1805
-105.000    2.1373
-100.000    2.1468
 -95.000    2.1325
 -90.000    2.1014
 -85.000    2.0997
 -80.000    2.0750
 -75.000    2.0559
 -70.000    2.0614
 -65.000    2.0419
 -60.000    2.0319
 -55.000    2.0201
 -50.000    2.0179
 -45.000    2.0123
 -40.000    2.0296
 -35.000    2.0165
 -30.000    2.0237
 -25.000    1.9997
 -20.000    2.0165
 -15.000    2.0156
 -10.000    1.9976
  -5.000    2.0119
   0.000    2.0107
   5.000    2.0156
  10.000    1.9908
  15.000    1.9842
  20.000    1.9852
  25.000    2.0075
  30.000    1.9913
  35.000    2.0020
  40.000    2.0090
  45.000    2.0198
  50.000    1.9946
  55.000    2.0219
  60.000    2.0125
  65.000    2.0062
  70.000    2.0160
  75.000    2.0373
  80.000    2.0545
  85.000    2.0584
  90.000    2.0552
  95.000    2.0659
 100.000    2.0849
 105.000    2.1042
 110.000    2.1263
 115.000    2.1601
 120.000    2.2119
 125.000    2.2204
 130.000    2.2262
 135.000    2.2124
 140.000    2.2465
 145.000    2.3710
 150.000    2.5525
 155.000    2.7681
 160.000    2.9435
 165.000    3.1554
 170.000    3.2794
 175.000    3.3409
 180.000    3.3073
 185.000    3.1199
 190.000    2.7698
 195.000    2.1256

*****************************************************

 y [mm] =     0.00

 x [mm] =  2000.00

 temperature   [C] =     32.6

 density [kg/m**3] =  1.08812

 z [mm]   Cf*1000[-] 

-195.000    2.3372
-190.000    2.6959
-185.000    2.9693
-180.000    3.1171
-175.000    3.2158
-170.000    3.1954
-165.000    3.1021
-160.000    2.9708
-155.000    2.7985
-150.000    2.6270
-145.000    2.4214
-140.000    2.2921
-135.000    2.2583
-130.000    2.2202
-125.000    2.2412
-120.000    2.2089
-115.000    2.1897
-110.000    2.1481
-105.000    2.1301
-100.000    2.1104
 -95.000    2.0703
 -90.000    2.0681
 -85.000    2.0552
 -80.000    2.0331
 -75.000    2.0487
 -70.000    2.0195
 -65.000    2.0269
 -60.000    1.9973
 -55.000    1.9847
 -50.000    1.9799
 -45.000    1.9865
 -40.000    1.9831
 -35.000    1.9762
 -30.000    2.0073
 -25.000    1.9944
 -20.000    1.9707
 -15.000    1.9781
 -10.000    1.9842
  -5.000    1.9587
   0.000    1.9599
   5.000    1.9705
  10.000    1.9636
  15.000    1.9715
  20.000    1.9601
  25.000    1.9640
  30.000    1.9634
  35.000    1.9639
  40.000    1.9647
  45.000    1.9803
  50.000    1.9489
  55.000    1.9646
  60.000    1.9877
  65.000    1.9761
  70.000    1.9744
  75.000    1.9965
  80.000    1.9984
  85.000    2.0291
  90.000    2.0084
  95.000    2.0215
 100.000    2.0561
 105.000    2.0926
 110.000    2.0852
 115.000    2.1271
 120.000    2.1437
 125.000    2.1657
 130.000    2.1652
 135.000    2.1731
 140.000    2.2618
 145.000    2.4441
 150.000    2.6010
 155.000    2.7947
 160.000    2.9447
 165.000    3.0837
 170.000    3.1690
 175.000    3.1495
 180.000    3.0190
 185.000    2.8013
 190.000    2.4114
 195.000    1.9311

*****************************************************

 y [mm] =     0.00

 x [mm] =  2250.00

 temperature   [C] =     32.6

 density [kg/m**3] =  1.08799

 z [mm]   Cf*1000[-] 

-195.000    2.0633
-190.000    2.3793
-185.000    2.6937
-180.000    2.8862
-175.000    3.0057
-170.000    3.0581
-165.000    3.0610
-160.000    2.9746
-155.000    2.9210
-150.000    2.7130
-145.000    2.5723
-140.000    2.4172
-135.000    2.2756
-130.000    2.1657
-125.000    2.1914
-120.000    2.2176
-115.000    2.1974
-110.000    2.1892
-105.000    2.1342
-100.000    2.1166
 -95.000    2.0839
 -90.000    2.0632
 -85.000    2.0272
 -80.000    2.0224
 -75.000    1.9990
 -70.000    2.0327
