 Filename:   3DC_P3S_04.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.69 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               959.4 mbar
 Air temperature (start)            32.1 C   
 Re 1m /10.E6                     2.4947
 Air density (start)              1.0900 kg/m**3 
 Air kin. viscosity (start)  0.17168E-04 m**2/s

 Date            22-MAY-90
 Time            14:25:40

*****************************************************

 x [mm] =     0.00

 z [mm] =     0.00

 temperature   [C] =     32.2

 density [kg/m**3] =  1.08923

 y [mm]   Q  [m/s]  yaw[deg]  

  36.000   42.8234   -0.0637
  34.000   42.4126   -0.0805
  32.000   41.8771   -0.0823
  30.000   41.3041   -0.0662
  28.000   40.7009   -0.1032
  26.000   40.0562   -0.0983
  24.000   39.3593   -0.0948
  22.000   38.5989   -0.0962
  20.000   37.8391   -0.0354
  19.000   37.5158   -0.1300
  18.000   37.0587   -0.1274
  17.000   36.6418   -0.1181
  16.000   36.1758   -0.0691
  15.000   35.7880   -0.0696
  14.000   35.2654   -0.0427
  13.000   34.7436   -0.0725
  12.000   34.2202   -0.0738
  11.000   33.7205   -0.0406
  10.000   33.2136   -0.0416
   9.000   32.5991   -0.1029
   8.000   31.9121   -0.0795
   7.000   31.3434   -0.1129
   6.000   30.5409   -0.1036
   5.000   29.7597   -0.0680
   4.500   29.3593   -0.0497
   4.000   28.8979   -0.0477
   3.500   28.3160   -0.0608
   3.000   27.7267    0.0148
   2.500   27.1315   -0.1055
   2.000   26.3562   -0.0808
   1.500   25.4719    0.0755
   1.000   24.1061    0.0709
   0.800   23.4718    0.0613
   0.650   22.8295    0.1018
   0.500   22.0279   -0.0257
   0.350   21.0397    0.1445
   0.250   19.5156    0.3491

*****************************************************

 x [mm] =  1250.00

 z [mm] =     0.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08683

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.0526   -0.0782
  75.000   44.0860   -0.0979
  70.000   44.1079   -0.0664
  65.000   44.1010   -0.0612
  62.000   44.1299   -0.0369
  60.000   44.0795   -0.0097
  58.000   44.0321   -0.0105
  56.000   43.9886    0.0115
  54.000   43.9127   -0.0035
  52.000   43.8088    0.0070
  50.000   43.6589   -0.0194
  48.000   43.3766   -0.0125
  46.000   43.0860   -0.0515
  44.000   42.6710   -0.0203
  42.000   42.2601   -0.0216
  40.000   41.8260   -0.0250
  38.000   41.3784   -0.0540
  36.000   40.8563   -0.0463
  34.000   40.3725   -0.0477
  32.000   39.6999   -0.0834
  30.000   39.2322   -0.0686
  28.000   38.5955   -0.0604
  26.000   38.0060   -0.0644
  24.000   37.3321   -0.1040
  22.000   36.6596   -0.1103
  20.000   36.0093   -0.0138
  19.000   35.6625   -0.0017
  18.000   35.2372   -0.0503
  17.000   34.8819   -0.0564
  16.000   34.5308   -0.0277
  15.000   34.0112   -0.0374
