 Filename:   3DC_P3S_03.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                1000.16 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.1 mbar
 Air temperature (start)            30.9 C   
 Re 1m /10.E6                     2.5088
 Air density (start)              1.0953 kg/m**3 
 Air kin. viscosity (start)  0.17034E-04 m**2/s

 Date            21-MAY-90
 Time            15:34:19

*****************************************************

 x [mm] =     0.00

 z [mm] =  -100.00

 temperature   [C] =     31.5

 density [kg/m**3] =  1.09264

 y [mm]   Q  [m/s]  yaw[deg]  

  19.000   37.4188    5.3902
  18.000   37.1443    5.4659
  17.000   36.6835    5.7093
  16.000   36.2229    5.8792
  15.000   35.8560    6.0305
  14.000   35.3641    6.1842
  13.000   34.9315    6.3626
  12.000   34.4378    6.5805
  11.000   33.9234    6.7428
  10.000   33.3559    6.9234
   9.000   32.8172    7.1308
   8.000   32.1174    7.2358
   7.000   31.5008    7.5660
   6.000   30.6234    7.8133
   5.000   29.9881    7.9689
   4.500   29.5047    7.9905
   4.000   29.0501    8.1381
   3.500   28.5116    8.1056
   3.000   28.0538    8.0688
   2.500   27.4505    7.8490
   2.000   26.5010    8.1504
   1.500   25.5353    8.2116
   1.000   24.1594    7.9888
   0.800   23.5368    7.9223
   0.650   23.0726    7.7291
   0.500   22.1578    7.5085
   0.350   21.0746    7.5224
   0.250   19.5091    7.3632

*****************************************************

 x [mm] =  1250.00

 z [mm] =  -100.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08919

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.2748    2.9026
  75.000   44.2863    2.8696
  70.000   44.2638    2.8665
  65.000   44.2878    2.8365
  62.000   44.2572    2.8408
  60.000   44.2202    2.8593
  58.000   44.2211    2.8746
  56.000   44.1983    2.8616
  54.000   44.1306    2.8591
  52.000   43.9945    2.8726
  50.000   43.7976    2.8968
  48.000   43.5305    2.9308
  46.000   43.2287    2.9634
  44.000   42.8381    2.9797
  42.000   42.4594    3.0259
  40.000   42.0177    3.1327
  38.000   41.5618    3.2153
  36.000   41.0882    3.3228
  34.000   40.5568    3.4652
  32.000   40.0643    3.5827
  30.000   39.5042    3.7807
  28.000   38.9847    3.9425
  26.000   38.4593    4.1007
  24.000   37.8709    4.3789
  22.000   37.2771    4.5495
  20.000   36.6392    4.9007
  19.000   36.3179    4.9757
  18.000   36.0176    5.1564
  17.000   35.6385    5.2472
  16.000   35.3092    5.3549
  15.000   34.9543    5.5196
  14.000   34.5164    5.6803
  13.000   34.1184    5.7702
  12.000   33.5958    5.9019
  11.000   33.1214    5.9590
  10.000   32.6699    6.0036
   9.000   32.1519    6.0968
   8.000   31.6000    6.0818
   7.000   30.8658    6.0024
   6.000   30.1119    6.0872
   5.000   29.3367    5.9138
   4.500   28.9613    5.8466
   4.000   28.5051    5.7197
   3.500   28.0052    5.6035
   3.000   27.3948    5.5002
   2.500   26.6853    5.3146
   2.000   25.9194    5.1553
   1.500   24.9591    4.9183
   1.000   23.7700    4.7175
   0.800   23.0395    4.5958
   0.650   22.5473    4.4141
   0.500   21.7737    4.3608
   0.350   20.5821    4.0056
   0.250   19.0968    4.0303

*****************************************************

 x [mm] =  1500.00

 z [mm] =  -100.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08900

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4269    1.5078
  75.000   44.4741    1.4804
  70.000   44.4662    1.4690
  65.000   44.3845    1.4407
  62.000   44.3243    1.4637
  60.000   44.1897    1.4434
  58.000   43.9738    1.4395
  56.000   43.7295    1.4330
  54.000   43.5314    1.4375
  52.000   43.2076    1.4548
  50.000   42.8432    1.4632
  48.000   42.4688    1.5281
  46.000   42.0631    1.5719
  44.000   41.6279    1.6597
  42.000   41.2430    1.6807
  40.000   40.9050    1.7792
  38.000   40.4055    1.8969
  36.000   39.9052    2.0277
  34.000   39.5035    2.1309
  32.000   39.0629    2.2798
  30.000   38.5832    2.4425
  28.000   38.1507    2.6125
  26.000   37.5836    2.8839
  24.000   37.0808    2.9421
  22.000   36.5212    3.1188
  20.000   35.9876    3.3280
  19.000   35.6973    3.3425
  18.000   35.3255    3.4840
  17.000   34.9436    3.5415
  16.000   34.6392    3.5324
  15.000   34.1815    3.5891
  14.000   33.8935    3.6066
  13.000   33.4788    3.5966
  12.000   33.0522    3.5411
  11.000   32.5862    3.5492
  10.000   32.1487    3.4057
   9.000   31.5502    3.2693
   8.000   31.0204    3.1390
   7.000   30.2510    2.9947
   6.000   29.5477    2.7962
   5.000   28.7280    2.4787
   4.500   28.3130    2.2710
   4.000   27.7040    2.2446
   3.500   27.1763    2.1267
   3.000   26.4828    2.0560
   2.500   25.9318    1.7531
   2.000   25.1513    1.6580
   1.500   24.1153    1.4046
   1.000   22.9492    1.3298
   0.800   22.2657    1.2676
   0.650   21.7642    1.1604
   0.500   21.1218    0.9849
   0.350   19.8068    0.9859
   0.250   18.3826    1.0348

*****************************************************

 x [mm] =  1750.00

 z [mm] =  -100.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08874

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4365    0.6647
  75.000   44.4312    0.6397
  70.000   44.4324    0.6165
  65.000   44.2117    0.5676
  62.000   43.9664    0.5421
  60.000   43.7284    0.5546
  58.000   43.4768    0.5665
  56.000   43.1372    0.5680
  54.000   42.8555    0.5565
  52.000   42.4642    0.5776
  50.000   42.1449    0.6279
  48.000   41.7872    0.6607
  46.000   41.3428    0.7352
  44.000   41.0008    0.8414
  42.000   40.6090    0.8642
  40.000   40.1901    0.9611
  38.000   39.8430    1.0424
  36.000   39.3469    1.1595
  34.000   38.9296    1.2945
  32.000   38.5267    1.4027
  30.000   38.0648    1.5185
  28.000   37.6054    1.6543
  26.000   37.0962    1.7934
  24.000   36.5848    1.9641
  22.000   36.0931    2.0232
  20.000   35.5212    2.0934
  19.000   35.2107    2.0669
  18.000   34.8583    2.0568
  17.000   34.5089    2.1647
  16.000   34.0715    2.0649
  15.000   33.7015    1.9865
  14.000   33.2303    1.9966
  13.000   32.7206    1.9432
  12.000   32.3378    1.8009
  11.000   31.8178    1.7324
  10.000   31.4160    1.5455
   9.000   30.7505    1.4384
   8.000   30.2596    1.2032
   7.000   29.4853    1.0028
   6.000   28.7750    0.8515
   5.000   27.9335    0.7172
   4.500   27.4362    0.6908
   4.000   27.0882    0.5582
   3.500   26.4992    0.4187
   3.000   25.9353    0.2952
   2.500   25.3496    0.1668
   2.000   24.4480    0.0124
   1.500   23.7720   -0.0398
   1.000   22.4493   -0.1786
   0.800   21.8482   -0.1577
   0.650   21.2367    0.0116
   0.500   20.4397   -0.0947
   0.350   19.3666    0.0308
   0.250   17.8516   -0.0492

*****************************************************

 x [mm] =  2000.00

 z [mm] =  -100.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08896

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.3866    0.3885
  75.000   44.3682    0.3582
  70.000   44.2560    0.3478
  65.000   43.9540    0.2994
  62.000   43.6267    0.2960
  60.000   43.3863    0.2979
  58.000   43.0468    0.3100
  56.000   42.7652    0.3035
  54.000   42.4337    0.3377
  52.000   42.2098    0.3560
  50.000   41.7872    0.4106
  48.000   41.3868    0.4845
  46.000   41.0781    0.4911
  44.000   40.6391    0.5670
  42.000   40.2049    0.6706
  40.000   39.8397    0.7467
  38.000   39.4737    0.8595
  36.000   39.1217    0.8956
  34.000   38.6775    1.0404
  32.000   38.2635    1.1388
  30.000   37.8211    1.2741
  28.000   37.4374    1.3719
  26.000   36.8975    1.3876
  24.000   36.3606    1.5041
  22.000   35.7150    1.5605
  20.000   35.0846    1.5604
  19.000   34.7995    1.5353
  18.000   34.4318    1.5890
  17.000   34.0492    1.5152
  16.000   33.6981    1.5571
  15.000   33.2211    1.4199
  14.000   32.7772    1.4058
  13.000   32.3744    1.2710
  12.000   31.8567    1.2568
  11.000   31.4530    1.1339
  10.000   30.8800    0.9839
   9.000   30.3733    0.9478
   8.000   29.7311    0.7208
   7.000   29.0792    0.6548
   6.000   28.3945    0.6006
   5.000   27.6020    0.4631
   4.500   27.1831    0.4395
   4.000   26.7032    0.4329
   3.500   26.4029    0.3678
   3.000   25.6818    0.3956
   2.500   25.0868    0.2240
   2.000   24.3277    0.3656
   1.500   23.5202    0.2253
   1.000   22.3161    0.1002
   0.800   21.8001    0.2048
   0.650   21.0912    0.3422
   0.500   20.4301    0.2694
   0.350   19.1104    0.3830
   0.250   17.6564    0.4584

*****************************************************

 x [mm] =  2250.00

 z [mm] =  -100.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08876

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4471    0.2543
  75.000   44.4235    0.2223
  70.000   44.2564    0.2240
  65.000   43.8636    0.1816
  62.000   43.4949    0.1874
  60.000   43.2435    0.1683
  58.000   42.9778    0.1863
  56.000   42.6050    0.2121
  54.000   42.2582    0.2569
  52.000   41.9873    0.2759
  50.000   41.6068    0.2983
  48.000   41.3026    0.3605
  46.000   40.9129    0.4255
  44.000   40.5863    0.4677
  42.000   40.1796    0.5464
  40.000   39.8707    0.6133
  38.000   39.4550    0.7143
  36.000   39.0666    0.8041
  34.000   38.6641    0.8797
  32.000   38.2455    0.9898
  30.000   37.8359    0.9845
  28.000   37.3173    1.0773
  26.000   36.7847    1.1525
  24.000   36.2876    1.1879
  22.000   35.5552    1.2077
  20.000   34.9256    1.2262
  19.000   34.5830    1.2292
  18.000   34.2428    1.1938
  17.000   33.8291    1.1615
  16.000   33.5724    1.0993
  15.000   33.0430    1.0479
  14.000   32.6233    1.1588
  13.000   32.1812    0.9531
  12.000   31.6144    0.9322
  11.000   31.3439    0.8531
  10.000   30.7771    0.7936
   9.000   30.3229    0.7614
   8.000   29.8056    0.6530
   7.000   29.1189    0.6068
   6.000   28.4752    0.5325
   5.000   27.7485    0.5514
   4.500   27.2819    0.4600
   4.000   26.9646    0.6225
   3.500   26.5568    0.5151
   3.000   25.8417    0.4294
   2.500   25.3186    0.4743
   2.000   24.6161    0.3515
   1.500   23.5536    0.4248
   1.000   22.4970    0.5017
   0.800   21.7653    0.4011
   0.650   21.2428    0.2585
   0.500   20.5748    0.2744
   0.350   19.3352    0.3459
   0.250   17.7167    0.5336

*****************************************************

 x [mm] =  2500.00

 z [mm] =  -100.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08893

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4410    0.0414
  75.000   44.3707    0.0245
  70.000   44.1366    0.0057
  65.000   43.6513   -0.0284
  62.000   43.3190   -0.0087
  60.000   43.0229   -0.0282
  58.000   42.7419    0.0139
  56.000   42.4517    0.0299
  54.000   42.0897    0.0376
  52.000   41.7783    0.0939
  50.000   41.5102    0.0914
  48.000   41.1429    0.1784
  46.000   40.7958    0.2139
  44.000   40.4053    0.2888
  42.000   40.1483    0.3271
  40.000   39.7283    0.3952
  38.000   39.3130    0.4809
  36.000   38.8535    0.5664
  34.000   38.4207    0.6104
  32.000   37.9990    0.6610
  30.000   37.5012    0.7726
  28.000   37.0089    0.8120
  26.000   36.4219    0.8261
  24.000   35.8574    0.8200
  22.000   35.2035    0.8681
  20.000   34.4600    0.8685
  19.000   34.1996    0.7385
  18.000   33.8873    0.8523
  17.000   33.4466    0.7203
  16.000   33.0659    0.7344
  15.000   32.7135    0.7442
  14.000   32.3758    0.6466
  13.000   32.0102    0.6340
  12.000   31.2525    0.5818
  11.000   31.1132    0.5538
  10.000   30.6421    0.5114
   9.000   30.1902    0.3509
   8.000   29.6348    0.4036
   7.000   29.0160    0.2952
   6.000   28.5270    0.2899
   5.000   27.6458    0.3352
   4.500   27.2418    0.1641
   4.000   26.8695    0.2874
   3.500   26.2738    0.2945
   3.000   25.8384    0.2156
   2.500   25.3629    0.0994
   2.000   24.4006    0.3172
   1.500   23.5553    0.1795
   1.000   22.2800    0.3654
   0.800   21.8705    0.1639
   0.650   21.1359    0.1977
   0.500   20.5408    0.3255
   0.350   19.2064    0.1996
   0.250   17.7368    0.3650

