# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 15
             TABLE C. 6           CASE R.ST6      Station=  1
             X/H=  -4.0      Tunnel Run#=  12   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           12  1.00  0.465 -0.020 10.80  7.65 -3.53  -0.48 -0.55  0.79  0.93
           13  1.10  0.487 -0.019 11.46  7.54 -3.49  -0.57 -0.65  0.91  1.19
           14  1.15  0.496 -0.019 11.46  7.50 -3.49  -1.12 -0.80  1.03  1.23
           15  1.20  0.504 -0.018 11.46  7.46 -3.49  -1.68 -0.95  1.15  1.28
           16  1.30  0.524 -0.020 11.63  7.46 -3.57  -2.53 -1.47  1.57  1.92
           17  1.40  0.546 -0.019 11.47  7.01 -3.31  -3.98 -1.88  2.09  2.01
           18  1.50  0.567 -0.018 11.34  6.84 -3.36  -4.31 -2.31  2.40  2.11
           19  1.70  0.608 -0.015 10.61  6.21 -3.08  -6.04 -2.72  2.56  2.39
           20  2.00  0.670 -0.009  8.40  4.83 -2.34  -7.11 -2.68  2.79  1.90
           21  2.40  0.741 -0.001  4.86  2.77 -1.19  -4.63 -1.47  1.58  1.08
           22  2.80  0.793  0.007  1.87  1.49 -0.44  -0.97 -0.40  0.47  0.35
           23  3.20  0.814  0.013  0.87  0.83 -0.09   0.05  0.00  0.05  0.09
           24  3.60  0.818  0.017  0.67  0.61  0.01   0.06  0.02  0.01  0.05
           25  4.00  0.819  0.019  0.57  0.47  0.02   0.06  0.03  0.01  0.02
           26  5.00  0.820  0.023  0.50  0.40  0.03   0.05  0.03  0.01  0.01
           27  6.00  0.821  0.027  0.42  0.34  0.03   0.04  0.02  0.00  0.01
           28  8.00  0.822  0.038  0.40  0.31  0.03   0.03  0.02  0.01  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 22
             X/H=  32.0      Tunnel Run#=  35   Ue/Uref=   0.770      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.316 -0.007  5.34  3.04 -0.40   0.94  0.11 -0.06 -0.24
            3  0.15  0.326 -0.007  5.77  3.04 -0.46   1.26  0.27 -0.04 -0.13
            4  0.20  0.334 -0.007  5.75  3.29 -0.71   0.99  0.21 -0.02 -0.31
            5  0.30  0.351 -0.006  6.10  3.78 -0.82   1.27  0.47 -0.12 -0.34
            6  0.40  0.365 -0.005  6.59  4.07 -0.93   1.13  0.38 -0.19 -0.21
            7  0.50  0.375 -0.004  7.12  4.17 -1.10   1.09  0.44 -0.18 -0.40
            8  0.60  0.385 -0.005  7.51  4.57 -1.55   1.33  0.51 -0.31 -0.32
            9  0.70  0.397 -0.007  7.57  4.79 -1.63   1.16  0.37 -0.26 -0.25
           10  0.80  0.406 -0.007  8.13  5.02 -1.94   1.09  0.40 -0.35 -0.46
           11  0.90  0.418 -0.007  8.36  5.11 -1.93   1.02  0.39 -0.10 -0.22
           12  1.00  0.428 -0.007  8.62  5.42 -2.14   0.84  0.27 -0.16 -0.13
           13  1.10  0.440 -0.008  8.82  5.78 -2.33   0.82  0.34 -0.08 -0.01
           14  1.15  0.445 -0.008  9.01  5.76 -2.41   0.80  0.29 -0.04  0.01
           15  1.20  0.450 -0.007  9.20  5.73 -2.49   0.78  0.24 -0.01  0.03
           16  1.30  0.460 -0.008  9.05  5.88 -2.48   0.63 -0.08  0.22  0.14
           17  1.40  0.474 -0.007  9.35  6.03 -2.61  -0.02 -0.04  0.34  0.13
           18  1.50  0.487 -0.008  9.56  6.09 -2.75  -0.45 -0.38  0.61  0.64
           19  1.70  0.516 -0.009  9.71  5.80 -2.75  -1.44 -0.74  0.94  1.01
           20  2.00  0.559 -0.010  9.45  5.54 -2.58  -2.87 -1.31  1.32  1.28
           21  2.40  0.613 -0.005  8.56  4.66 -2.25  -4.19 -1.66  1.62  1.35
           22  2.80  0.668  0.000  6.78  3.60 -1.57  -5.62 -1.78  1.82  1.28
           23  3.20  0.714  0.007  4.29  2.54 -0.94  -4.07 -1.25  1.25  0.85
           24  3.60  0.745  0.013  2.33  1.71 -0.38  -1.98 -0.59  0.54  0.39
           25  4.00  0.760  0.018  1.20  1.13 -0.19  -0.48 -0.19  0.21  0.18
           26  5.00  0.771  0.025  0.53  0.50  0.03   0.04  0.03  0.02  0.05
           27  6.00  0.770  0.026  0.40  0.35  0.06   0.03  0.02  0.02  0.02
           28  8.00  0.771  0.036  0.37  0.30  0.05   0.03  0.02  0.01  0.02
 
