%F0251a.pt2 Van den Berg et al. 35 deg. yawed wing
%Turbulence data
%Stn. no  1,    5,    7,    9,    11,    13,    15,    17
%x (m) .495, .795, .895, .995, 1.095, 1.195, 1.295, 1.395
%___________________________________________________________
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   1     0.495      1.000     4.00  0.003155   1.50
%Max and min. values for each column
% 2.00000E-02  8.81139E-03  3.72800E-03  4.40161E-03 -%1.00884E-04 -3.00000E-06 -2.51362E-03
% 2.50000E-03  2.50000E-05  2.60000E-05  3.10000E-05  %3.68055E-05  3.65881E-04  0.00000E+00
%Norm.y  u2    v2    w2    vw    uw    uv     y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
 3067  5413  6355  6502  1810  5764  6274  1.4001E-02  7.0296E-03  3.1688E-03  4.2775E-03  2.2731E-04 -4.3177E-04 -1.8945E-03
 3600  4029  4799  4770  2990  3936  4827  1.6000E-02  5.2404E-03  2.4008E-03  3.1495E-03  1.6294E-04 -2.6689E-04 -1.4580E-03
 4133  2704  3329  3073  5171  1540  2330  1.7999E-02  3.5276E-03  1.6752E-03  2.0443E-03  4.3956E-05 -5.0768E-05 -7.0481E-04
 4667  1199  2030  1638  5427     0  1519  2.0001E-02  1.5820E-03  1.0340E-03  1.1098E-03  2.9990E-05  8.8141E-05 -4.6018E-04
 5200   495  1106   641  6425   277   295  2.2000E-02  6.7191E-04  5.7792E-04  4.6046E-04 -2.4454E-05  6.3155E-05 -9.0982E-05
 5733   128   438   217  5941   821    40  2.3999E-02  1.9747E-04  2.4820E-04  1.8432E-04  1.9497E-06  1.4086E-05 -1.4065E-05
 6267    46   170    66  5940   955    10  2.6001E-02  9.1466E-05  1.1591E-04  8.5983E-05  2.0042E-06  1.9995E-06 -5.0164E-06
 6800    22    83    34  5940   999     0  2.8000E-02  6.0440E-05  7.2969E-05  6.5143E-05  2.0042E-06 -1.9693E-06 -2.0000E-06
 7333    12    43    14  5977   999     0  2.9999E-02  4.7513E-05  5.3225E-05  5.2118E-05 -1.4269E-08 -1.9693E-06 -2.0000E-06
 8000     5    20     8  5977  1033     0  3.2500E-02  3.8464E-05  4.1872E-05  4.8210E-05 -1.4269E-08 -5.0361E-06 -2.0000E-06
 8667     2    10     5  5977  1033     0  3.5001E-02  3.4585E-05  3.6936E-05  4.6256E-05 -1.4269E-08 -5.0361E-06 -2.0000E-06
 9333     0     2     0  5977  1033     0  3.7499E-02  3.2000E-05  3.2987E-05  4.3000E-05 -1.4269E-08 -5.0361E-06 -2.0000E-06
10000     0     0     0  5977   999     0  4.0000E-02  3.2000E-05  3.2000E-05  4.3000E-05 -1.4269E-08 -1.9693E-06 -2.0000E-06
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   9     0.995      0.875    10.90  0.003155  18.95
%Max and min. values for each column
%5.000000E-02 1.323360E-02 5.072000E-03 7.791400E-03 -3.02148E-04 -1.12032E-03 -3.23086E-03
%2.500000E-03 3.400000E-05 3.100000E-05 4.900000E-05 6.361140E-04 1.096710E-04 -4.00000E-06
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0  8499  7401  7943 10000  3393  7686  2.5000E-03  1.1252E-02  3.7618E-03  6.1988E-03 -3.0215E-04 -3.0766E-04 -2.4842E-03
  105  8579  7556  7884  8474  4238  8213  2.9988E-03  1.1358E-02  3.8400E-03  6.1531E-03 -1.5897E-04 -4.1160E-04 -2.6542E-03
  316  8787  8123  8207  5965  5665  8756  4.0010E-03  1.1632E-02  4.1258E-03  6.4032E-03  7.6441E-05 -5.8712E-04 -2.8294E-03
  737  9397  9085  8978  2987  8140  9572  6.0008E-03  1.2438E-02  4.6107E-03  7.0001E-03  3.5586E-04 -8.9154E-04 -3.0928E-03
 1158  9883  9784  9671   396  9225  9828  8.0005E-03  1.3079E-02  4.9631E-03  7.5367E-03  5.9896E-04 -1.0250E-03 -3.1754E-03
 1579 10000 10000 10000     0 10000 10000  1.0000E-02  1.3234E-02  5.0720E-03  7.7914E-03  6.3611E-04 -1.1203E-03 -3.2309E-03
 2000  9775  9923  9850    59  9587  9773  1.2000E-02  1.2937E-02  5.0332E-03  7.6753E-03  6.3058E-04 -1.0695E-03 -3.1576E-03
 2421  9050  9407  9162   342  9086  9201  1.4000E-02  1.1980E-02  4.7731E-03  7.1426E-03  6.0403E-04 -1.0079E-03 -2.9730E-03
 2842  8146  8510  8455   495  9039  8550  1.6000E-02  1.0786E-02  4.3209E-03  6.5952E-03  5.8967E-04 -1.0021E-03 -2.7630E-03
 3263  6705  7645  7242  1533  7431  7519  1.7999E-02  8.8843E-03  3.8848E-03  5.6560E-03  4.9228E-04 -8.0434E-04 -2.4303E-03
 3684  5490  6146  5892  2064  6409  6113  1.9999E-02  7.2806E-03  3.1292E-03  4.6108E-03  4.4246E-04 -6.7863E-04 -1.9766E-03
 4105  4165  4908  4481  3315  4509  4844  2.1999E-02  5.5316E-03  2.5051E-03  3.5184E-03  3.2508E-04 -4.4493E-04 -1.5671E-03
 4526  2916  3618  2969  4593  3217  3311  2.3999E-02  3.8830E-03  1.8548E-03  2.3477E-03  2.0517E-04 -2.8602E-04 -1.0724E-03
 4947  1643  2331  1733  5913  1533  1639  2.5998E-02  2.2027E-03  1.2061E-03  1.3908E-03  8.1320E-05 -7.8887E-05 -5.3288E-04
 5368   696  1406   919  6567     0   899  2.7998E-02  9.5269E-04  7.3976E-04  7.6053E-04  1.9957E-05  1.0967E-04 -2.9409E-04
 5789   199   659   331  6493   591   205  2.9998E-02  2.9667E-04  3.6320E-04  3.0527E-04  2.6900E-05  3.6979E-05 -7.0151E-05
 6316    59   260   110  6801   827    19  3.2501E-02  1.1188E-04  1.6207E-04  1.3417E-04 -1.9980E-06  7.9507E-06 -1.0131E-05
 6842    27   111    41  6737   908     0  3.5000E-02  6.9639E-05  8.6955E-05  8.0744E-05  4.0069E-06 -2.0122E-06 -4.0000E-06
 7368    14    56    18  6758   908     0  3.7498E-02  5.2479E-05  5.9230E-05  6.2936E-05  2.0365E-06 -2.0122E-06 -4.0000E-06
 7895     7    32    10  6758   924     0  4.0001E-02  4.3240E-05  4.7131E-05  5.6742E-05  2.0365E-06 -3.9802E-06 -4.0000E-06
 8421     4    18     4  6737   940     6  4.2500E-02  3.9280E-05  4.0074E-05  5.2097E-05  4.0069E-06 -5.9482E-06 -5.9361E-06
 8947     2    10     3  6737   924     6  4.4998E-02  3.6640E-05  3.6041E-05  5.1323E-05  4.0069E-06 -3.9802E-06 -5.9361E-06
 9474     1     8     1  6758   908     0  4.7502E-02  3.5320E-05  3.5033E-05  4.9774E-05  2.0365E-06 -2.0122E-06 -4.0000E-06
10000     0     0     0  6737   908     6  5.0000E-02  3.4000E-05  3.1000E-05  4.9000E-05  4.0069E-06 -2.0122E-06 -5.9361E-06
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%  11     1.095      0.851    13.20  0.001764   27.00
%Max and min. values for each column
%0.06  0.0131117 0.004768 0.0082903 -0.000549328 -0.00177395 -0.0029579
%.0025   3.8E-05  3.7E-05     5E-05  0.000892322     2.6E-05     -2E-06
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0  7770  6301  6783 10000   850  6407  2.5000E-03  1.0196E-02  3.0180E-03  5.6394E-03 -5.4933E-04 -1.2700E-04 -1.8958E-03
   87  8097  6578  6977  9147  1225  6623  3.0003E-03  1.0624E-02  3.1491E-03  5.7993E-03 -4.2636E-04 -1.9449E-04 -1.9597E-03
  261  8210  7157  7019  7697  3111  7223  4.0008E-03  1.0772E-02  3.4230E-03  5.8339E-03 -2.1732E-04 -5.3396E-04 -2.1370E-03
  609  8910  8400  7919  5054  5666  8190  6.0018E-03  1.1687E-02  4.0110E-03  6.5755E-03  1.6371E-04 -9.9385E-04 -2.4229E-03
  957  9415  9019  8752  3492  7382  9068  8.0028E-03  1.2347E-02  4.3039E-03  7.2619E-03  3.8890E-04 -1.3027E-03 -2.6824E-03
 1304  9698  9503  9398  2181  8733  9418  9.9980E-03  1.2717E-02  4.5329E-03  7.7942E-03  5.7790E-04 -1.5459E-03 -2.7859E-03
 1652  9725  9732  9625  1209  9442  9951  1.1999E-02  1.2752E-02  4.6412E-03  7.9813E-03  7.1803E-04 -1.6735E-03 -2.9434E-03
 2000 10000 10000 10000   436  9576  9859  1.4000E-02  1.3112E-02  4.7680E-03  8.2903E-03  8.2947E-04 -1.6976E-03 -2.9162E-03
 2348  9813  9987  9901   401 10000 10000  1.6001E-02  1.2867E-02  4.7618E-03  8.2087E-03  8.3451E-04 -1.7740E-03 -2.9579E-03
 2696  9374  9683  9676     0  9617  9707  1.8002E-02  1.2293E-02  4.6180E-03  8.0233E-03  8.9232E-04 -1.7050E-03 -2.8713E-03
 3043  8986  9135  9417   573  8716  8930  1.9997E-02  1.1786E-02  4.3588E-03  7.8099E-03  8.0972E-04 -1.5428E-03 -2.6416E-03
 3391  8279  8639  8667  1051  8318  8600  2.1998E-02  1.0862E-02  4.1241E-03  7.1919E-03  7.4080E-04 -1.4712E-03 -2.5441E-03
 3739  7545  8055  7825  1600  7447  7715  2.3999E-02  9.9021E-03  3.8478E-03  6.4980E-03  6.6166E-04 -1.3144E-03 -2.2825E-03
 4087  6521  7125  6890  2247  6531  6959  2.6000E-02  8.5634E-03  3.4078E-03  5.7276E-03  5.6838E-04 -1.1495E-03 -2.0590E-03
 4435  5538  6223  5853  3091  5683  5945  2.8001E-02  7.2782E-03  2.9811E-03  4.8730E-03  4.4671E-04 -9.9691E-04 -1.7593E-03
 4783  4504  5157  4524  3857  4335  4824  3.0002E-02  5.9264E-03  2.4768E-03  3.7779E-03  3.3628E-04 -7.5428E-04 -1.4279E-03
 5217  3162  3794  3007  4831  2969  3035  3.2498E-02  4.1719E-03  1.8319E-03  2.5279E-03  1.9586E-04 -5.0841E-04 -8.9912E-04
 5652  1632  2272  1554  5759   914  1277  3.4999E-02  2.1716E-03  1.1119E-03  1.3305E-03  6.2076E-05 -1.3852E-04 -3.7947E-04
 6087   568  1277   670  6108   182   538  3.7500E-02  7.8059E-04  6.4115E-04  6.0210E-04  1.1762E-05 -6.7591E-06 -1.6103E-04
