%F0251a.pt1  Van den Berg et al. 35 deg. yawed wing
%J. Fluid Mech. vol. 70, p. 127 (1975).
% Columns of normalized values (min. = 0, max = 10000)
% from 1980-81 data library, followed by "true" values.
%Station numbers and x values are different for mean
%flow (this file) and turbulence measurements (pt2):-
%
%Stn. no 2,   3,   4,   6,   8,   10,   12,   14,   16,   18
%x (m) .52, .62, .72, .82, .92, 1.02, 1.12, 1.22, 1.32, 1.42
%___________________________________________________________
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
 9614  9915    66  6.2499E-02  9.9602E-01 -2.0000E-07
10000  9976    66  6.5000E-02  1.0010E+00 -2.0000E-07
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
  18     1.420   0.811     17.30  0.001895  39.85
%Max. and min values for each column:
%    7.250000E-02 1.003000E+00 3.620000E-01
%    1.600000E-04 1.790000E-01 2.000000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  4139  1.6000E-04  1.7900E-01  1.5100E-01
    6   534  4694  2.0340E-04  2.2300E-01  1.7098E-01
   19  1007  5750  2.9745E-04  2.6198E-01  2.0900E-01
   33  1444  6639  3.9872E-04  2.9799E-01  2.4100E-01
   61  1784  7278  6.0127E-04  3.2600E-01  2.6401E-01
   88  2051  7806  7.9659E-04  3.4800E-01  2.8302E-01
  116  2233  8111  9.9914E-04  3.6300E-01  2.9400E-01
  144  2318  8306  1.2017E-03  3.7000E-01  3.0102E-01
  199  2585  8639  1.5996E-03  3.9200E-01  3.1300E-01
  256  2670  8806  2.0119E-03  3.9901E-01  3.1902E-01
  325  2840  9111  2.5111E-03  4.1302E-01  3.3000E-01
  393  2949  9278  3.0030E-03  4.2200E-01  3.3601E-01
  463  3131  9583  3.5093E-03  4.3699E-01  3.4699E-01
  527  3240  9694  3.9723E-03  4.4598E-01  3.5098E-01
  668  3350  9722  4.9923E-03  4.5504E-01  3.5199E-01
  806  3568  9917  5.9906E-03  4.7300E-01  3.5901E-01
  947  3701  9972  7.0106E-03  4.8396E-01  3.6099E-01
