%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 1792
%  N_r                         =  140
%  N_theta                     =  768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 44000
%  Friction Reynolds number    = 1136.6
%  Friction factor             = 0.02136
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2225173169E+03    0.1873254625E+02   -0.1256695871E+01    0.3356251725E+01    0.1113912425E+01    0.1534281885E+01    0.7895810774E+00    0.4694846757E+01
    0.2263633414E+03    0.1878360450E+02   -0.1255964465E+01    0.3339853885E+01    0.1111316723E+01    0.1526810274E+01    0.7863640725E+00    0.4656815884E+01
    0.2302237193E+03    0.1883417438E+02   -0.1255205146E+01    0.3323370096E+01    0.1108702100E+01    0.1519326507E+01    0.7831273096E+00    0.4619293773E+01
    0.2340983496E+03    0.1888428070E+02   -0.1254416929E+01    0.3306782234E+01    0.1106067550E+01    0.1511811315E+01    0.7798653611E+00    0.4582278741E+01
    0.2379871336E+03    0.1893393819E+02   -0.1253598695E+01    0.3290104310E+01    0.1103412058E+01    0.1504290733E+01    0.7765794033E+00    0.4545764638E+01
    0.2418899743E+03    0.1898315210E+02   -0.1252749448E+01    0.3273382815E+01    0.1100734759E+01    0.1496809110E+01    0.7732716014E+00    0.4509737652E+01
    0.2458067762E+03    0.1903193060E+02   -0.1251869774E+01    0.3256637762E+01    0.1098036193E+01    0.1489364547E+01    0.7699414955E+00    0.4474174925E+01
    0.2497374460E+03    0.1908028497E+02   -0.1250961689E+01    0.3239868555E+01    0.1095318371E+01    0.1481925934E+01    0.7665904333E+00    0.4439049820E+01
    0.2536818920E+03    0.1912822474E+02   -0.1250027649E+01    0.3223056985E+01    0.1092583793E+01    0.1474490283E+01    0.7632232511E+00    0.4404336502E+01
    0.2576400237E+03    0.1917575773E+02   -0.1249068648E+01    0.3206169800E+01    0.1089833455E+01    0.1467084434E+01    0.7598444247E+00    0.4370006118E+01
    0.2616117525E+03    0.1922289140E+02   -0.1248081491E+01    0.3189193578E+01    0.1087064038E+01    0.1459730291E+01    0.7564554252E+00    0.4336026917E+01
    0.2655969912E+03    0.1926963450E+02   -0.1247058522E+01    0.3172161735E+01    0.1084267799E+01    0.1452447436E+01    0.7530565276E+00    0.4302368160E+01
    0.2695956539E+03    0.1931599791E+02   -0.1245991585E+01    0.3155113997E+01    0.1081436235E+01    0.1445254757E+01    0.7496500899E+00    0.4269009675E+01
    0.2736076563E+03    0.1936199292E+02   -0.1244874885E+01    0.3138067870E+01    0.1078562978E+01    0.1438162460E+01    0.7462392339E+00    0.4235945370E+01
    0.2776329154E+03    0.1940763275E+02   -0.1243705867E+01    0.3121018745E+01    0.1075644901E+01    0.1431189159E+01    0.7428222574E+00    0.4203177357E+01
    0.2816713494E+03    0.1945293393E+02   -0.1242486157E+01    0.3103936421E+01    0.1072683021E+01    0.1424341980E+01    0.7393916862E+00    0.4170717614E+01
    0.2857228780E+03    0.1949791056E+02   -0.1241220261E+01    0.3086784471E+01    0.1069681199E+01    0.1417595447E+01    0.7359401218E+00    0.4138591718E+01
    0.2897874219E+03    0.1954257150E+02   -0.1239911935E+01    0.3069555859E+01    0.1066642659E+01    0.1410917178E+01    0.7324648700E+00    0.4106816720E+01
    0.2938649032E+03    0.1958692183E+02   -0.1238562533E+01    0.3052277456E+01    0.1063568397E+01    0.1404298078E+01    0.7289681657E+00    0.4075376893E+01
    0.2979552451E+03    0.1963096164E+02   -0.1237172753E+01    0.3034975735E+01    0.1060458870E+01    0.1397752865E+01    0.7254553299E+00    0.4044236405E+01
    0.3020583718E+03    0.1967468775E+02   -0.1235744811E+01    0.3017647900E+01    0.1057315964E+01    0.1391292297E+01    0.7219311869E+00    0.4013367556E+01
    0.3061742087E+03    0.1971809718E+02   -0.1234282740E+01    0.3000268439E+01    0.1054143190E+01    0.1384912760E+01    0.7183977516E+00    0.3982757280E+01
    0.3103026825E+03    0.1976118876E+02   -0.1232791379E+01    0.2982812141E+01    0.1050944821E+01    0.1378597537E+01    0.7148556058E+00    0.3952405463E+01
    0.3144437208E+03    0.1980396318E+02   -0.1231275641E+01    0.2965278122E+01    0.1047725461E+01    0.1372323219E+01    0.7113049341E+00    0.3922327263E+01
    0.3185972520E+03    0.1984642380E+02   -0.1229741129E+01    0.2947671529E+01    0.1044490624E+01    0.1366059389E+01    0.7077444451E+00    0.3892552398E+01
    0.3227632058E+03    0.1988857860E+02   -0.1228193367E+01    0.2929982326E+01    0.1041245834E+01    0.1359794345E+01    0.7041700605E+00    0.3863108467E+01
    0.3269415127E+03    0.1993043942E+02   -0.1226635201E+01    0.2912186797E+01    0.1037994003E+01    0.1353546122E+01    0.7005760651E+00    0.3834008182E+01
    0.3311321043E+03    0.1997201789E+02   -0.1225065680E+01    0.2894268328E+01    0.1034734186E+01    0.1347326175E+01    0.6969598799E+00    0.3805249338E+01
    0.3353349131E+03    0.2001331954E+02   -0.1223480804E+01    0.2876238823E+01    0.1031462381E+01    0.1341133193E+01    0.6933247981E+00    0.3776805663E+01
    0.3395498724E+03    0.2005434702E+02   -0.1221875702E+01    0.2858119169E+01    0.1028173631E+01    0.1334972706E+01    0.6896775185E+00    0.3748630672E+01
    0.3437769164E+03    0.2009510731E+02   -0.1220246464E+01    0.2839924274E+01    0.1024863765E+01    0.1328836639E+01    0.6860243684E+00    0.3720695609E+01
    0.3480159803E+03    0.2013561253E+02   -0.1218590320E+01    0.2821669809E+01    0.1021529698E+01    0.1322697700E+01    0.6823686839E+00    0.3693005278E+01
    0.3522670002E+03    0.2017587746E+02   -0.1216904750E+01    0.2803376709E+01    0.1018168817E+01    0.1316546444E+01    0.6787100070E+00    0.3665567067E+01
    0.3565299126E+03    0.2021591480E+02   -0.1215187357E+01    0.2785064888E+01    0.1014778798E+01    0.1310402718E+01    0.6750443217E+00    0.3638371341E+01
    0.3608046553E+03    0.2025573311E+02   -0.1213436836E+01    0.2766735660E+01    0.1011358276E+01    0.1304293054E+01    0.6713656053E+00    0.3611411001E+01
    0.3650911668E+03    0.2029534123E+02   -0.1211653173E+01    0.2748388261E+01    0.1007906905E+01    0.1298238575E+01    0.6676698595E+00    0.3584685891E+01
    0.3693893861E+03    0.2033475162E+02   -0.1209836787E+01    0.2730038066E+01    0.1004424613E+01    0.1292246890E+01    0.6639575255E+00    0.3558184644E+01
    0.3736992533E+03    0.2037397912E+02   -0.1207988136E+01    0.2711702627E+01    0.1000911335E+01    0.1286314763E+01    0.6602308237E+00    0.3531889764E+01
    0.3780207089E+03    0.2041303631E+02   -0.1206107395E+01    0.2693394325E+01    0.9973667266E+00    0.1280441058E+01    0.6564904469E+00    0.3505789910E+01
    0.3823536947E+03    0.2045192634E+02   -0.1204194308E+01    0.2675126672E+01    0.9937901631E+00    0.1274619055E+01    0.6527366265E+00    0.3479865416E+01
    0.3866981524E+03    0.2049064611E+02   -0.1202249867E+01    0.2656913620E+01    0.9901822559E+00    0.1268816879E+01    0.6489720172E+00    0.3454089760E+01
    0.3910540252E+03    0.2052919422E+02   -0.1200276437E+01    0.2638755249E+01    0.9865450526E+00    0.1262999845E+01    0.6452006210E+00    0.3428445411E+01
    0.3954212565E+03    0.2056757244E+02   -0.1198276271E+01    0.2620633445E+01    0.9828807451E+00    0.1257148471E+01    0.6414235924E+00    0.3402929437E+01
    0.3997997904E+03    0.2060578385E+02   -0.1196251753E+01    0.2602538051E+01    0.9791918112E+00    0.1251240522E+01    0.6376374016E+00    0.3377550261E+01
    0.4041895720E+03    0.2064382922E+02   -0.1194205254E+01    0.2584466739E+01    0.9754808110E+00    0.1245251130E+01    0.6338366190E+00    0.3352313003E+01
    0.4085905466E+03    0.2068170330E+02   -0.1192137184E+01    0.2566426820E+01    0.9717484863E+00    0.1239174951E+01    0.6300190726E+00    0.3327214156E+01
    0.4130026604E+03    0.2071939654E+02   -0.1190044946E+01    0.2548435015E+01    0.9679925970E+00    0.1233037984E+01    0.6261867175E+00    0.3302239136E+01
    0.4174258604E+03    0.2075690097E+02   -0.1187923961E+01    0.2530511218E+01    0.9642087557E+00    0.1226877398E+01    0.6223416183E+00    0.3277361393E+01
    0.4218600938E+03    0.2079421363E+02   -0.1185769599E+01    0.2512679336E+01    0.9603923843E+00    0.1220725626E+01    0.6184845636E+00    0.3252549788E+01
    0.4263053086E+03    0.2083133823E+02   -0.1183578788E+01    0.2494947672E+01    0.9565402464E+00    0.1214613086E+01    0.6146169941E+00    0.3227779246E+01
    0.4307614534E+03    0.2086828016E+02   -0.1181350790E+01    0.2477306982E+01    0.9526511536E+00    0.1208548595E+01    0.6107414061E+00    0.3203040218E+01
    0.4352284773E+03    0.2090504211E+02   -0.1179087513E+01    0.2459737789E+01    0.9487265394E+00    0.1202504745E+01    0.6068598845E+00    0.3178343183E+01
    0.4397063302E+03    0.2094162674E+02   -0.1176792896E+01    0.2442209038E+01    0.9447701598E+00    0.1196441065E+01    0.6029741014E+00    0.3153713248E+01
    0.4441949624E+03    0.2097803839E+02   -0.1174470723E+01    0.2424692964E+01    0.9407860109E+00    0.1190322662E+01    0.5990854574E+00    0.3129175691E+01
