# 2-D converging-diverging channel, Re=12600
# Data from J.-P. Laval, LML
#
#  X	: Streamwise coordinates
#  Y0	: Normal coordinates of the lower wall
#  Y1	: Normal coordinates of the upper wall 
#  Utau0: Friction velocity at the lower wall
#  Utau1: Friction velocity at the upper wall
#  Cp0	: Pressure coefficient at the lower wall
#  Cp1	: Pressure coefficient at the upper wall
#  Cf0	: Skin friction coefficient at the lower wall
#  Cf1	: Skin friction coefficient at the upper wall
#
#  Y1 =  2
#  Re =  12600
#  Uo =  max(U(x=0,y)) = 1.00717
#  Po =  P(x=0,y=1)
#  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
#  Cp = (P-Po)/(0.5*Uo^2)
#  Nx = 2304
#
# Date File Created: January 6, 2009
#
#       X           Y0            Utau0          Utau1           Cp0             Cp1            Cf0            Cf1
# variables="x","y0","Utau0","Utau1","Cp0","Cp1","Cf0","Cf1"
# zone,t="DNS"
  1.12057E+00    0.00000E+00    4.68039E-02    5.01257E-02    2.38749E-02   -1.56552E-02    4.44428E-03    5.09752E-03
  1.12875E+00    0.00000E+00    4.67762E-02    5.01455E-02    2.40244E-02   -1.58798E-02    4.43902E-03    5.10154E-03
  1.13693E+00    0.00000E+00    4.67491E-02    5.01653E-02    2.41766E-02   -1.61065E-02    4.43388E-03    5.10557E-03
  1.14511E+00    0.00000E+00    4.67214E-02    5.01842E-02    2.43307E-02   -1.63357E-02    4.42864E-03    5.10942E-03
  1.15329E+00    0.00000E+00    4.66940E-02    5.02045E-02    2.44875E-02   -1.65657E-02    4.42344E-03    5.11355E-03
  1.16147E+00    0.00000E+00    4.66661E-02    5.02254E-02    2.46462E-02   -1.67980E-02    4.41815E-03    5.11782E-03
  1.16965E+00    0.00000E+00    4.66376E-02    5.02459E-02    2.48081E-02   -1.70324E-02    4.41275E-03    5.12200E-03
  1.17783E+00    0.00000E+00    4.66085E-02    5.02663E-02    2.49720E-02   -1.72697E-02    4.40726E-03    5.12615E-03
  1.18601E+00    0.00000E+00    4.65794E-02    5.02875E-02    2.51384E-02   -1.75084E-02    4.40175E-03    5.13047E-03
  1.19419E+00    0.00000E+00    4.65494E-02    5.03091E-02    2.53069E-02   -1.77490E-02    4.39609E-03    5.13488E-03
  1.20236E+00    0.00000E+00    4.65182E-02    5.03307E-02    2.54787E-02   -1.79918E-02    4.39019E-03    5.13930E-03
  1.21054E+00    0.00000E+00    4.64878E-02    5.03523E-02    2.56529E-02   -1.82377E-02    4.38445E-03    5.14370E-03
  1.21872E+00    0.00000E+00    4.64561E-02    5.03749E-02    2.58300E-02   -1.84853E-02    4.37848E-03    5.14833E-03
  1.22690E+00    0.00000E+00    4.64235E-02    5.03968E-02    2.60091E-02   -1.87351E-02    4.37235E-03    5.15280E-03
  1.23508E+00    0.00000E+00    4.63912E-02    5.04196E-02    2.61915E-02   -1.89873E-02    4.36626E-03    5.15746E-03
  1.24326E+00    0.00000E+00    4.63579E-02    5.04414E-02    2.63763E-02   -1.92429E-02    4.35999E-03    5.16193E-03
  1.25144E+00    0.00000E+00    4.63241E-02    5.04643E-02    2.65639E-02   -1.95001E-02    4.35363E-03    5.16662E-03
  1.25962E+00    0.00000E+00    4.62894E-02    5.04872E-02    2.67536E-02   -1.97595E-02    4.34712E-03    5.17130E-03
  1.26780E+00    0.00000E+00    4.62542E-02    5.05104E-02    2.69466E-02   -2.00211E-02    4.34050E-03    5.17606E-03
  1.27598E+00    0.00000E+00    4.62185E-02    5.05335E-02    2.71422E-02   -2.02859E-02    4.33382E-03    5.18079E-03
  1.28416E+00    0.00000E+00    4.61820E-02    5.05568E-02    2.73412E-02   -2.05527E-02    4.32697E-03    5.18557E-03
  1.29233E+00    0.00000E+00    4.61451E-02    5.05807E-02    2.75424E-02   -2.08218E-02    4.32005E-03    5.19048E-03
  1.30051E+00    0.00000E+00    4.61069E-02    5.06043E-02    2.77474E-02   -2.10927E-02    4.31291E-03    5.19532E-03
  1.30869E+00    0.00000E+00    4.60690E-02    5.06288E-02    2.79557E-02   -2.13662E-02    4.30581E-03    5.20036E-03
  1.31687E+00    0.00000E+00    4.60303E-02    5.06545E-02    2.81678E-02   -2.16421E-02    4.29858E-03    5.20563E-03
  1.32505E+00    0.00000E+00    4.59916E-02    5.06794E-02    2.83830E-02   -2.19216E-02    4.29136E-03    5.21075E-03
  1.33323E+00    0.00000E+00    4.59517E-02    5.07050E-02    2.86021E-02   -2.22031E-02    4.28391E-03    5.21602E-03
  1.34141E+00    0.00000E+00    4.59126E-02    5.07306E-02    2.88245E-02   -2.24868E-02    4.27663E-03    5.22130E-03
  1.34960E+00    0.00000E+00    4.58723E-02    5.07572E-02    2.90514E-02   -2.27734E-02    4.26913E-03    5.22677E-03
  1.35778E+00    0.00000E+00    4.58328E-02    5.07830E-02    2.92816E-02   -2.30634E-02    4.26178E-03    5.23208E-03
  1.36596E+00    0.00000E+00    4.57922E-02    5.08092E-02    2.95157E-02   -2.33551E-02    4.25424E-03    5.23748E-03
  1.37412E+00    0.00000E+00    4.57509E-02    5.08366E-02    2.97528E-02   -2.36494E-02    4.24655E-03    5.24313E-03
  1.38231E+00    0.00000E+00    4.57097E-02    5.08637E-02    2.99947E-02   -2.39468E-02    4.23891E-03    5.24872E-03
  1.39049E+00    0.00000E+00    4.56677E-02    5.08907E-02    3.02407E-02   -2.42473E-02    4.23113E-03    5.25431E-03
  1.39867E+00    0.00000E+00    4.56254E-02    5.09174E-02    3.04909E-02   -2.45498E-02    4.22329E-03    5.25981E-03
  1.40685E+00    0.00000E+00    4.55825E-02    5.09456E-02    3.07447E-02   -2.48550E-02    4.21536E-03    5.26563E-03
  1.41503E+00    0.00000E+00    4.55394E-02    5.09732E-02    3.10027E-02   -2.51625E-02    4.20739E-03    5.27135E-03
  1.42321E+00    0.00000E+00    4.54955E-02    5.10007E-02    3.12651E-02   -2.54733E-02    4.19927E-03    5.27705E-03
  1.43139E+00    0.00000E+00    4.54508E-02    5.10295E-02    3.15322E-02   -2.57864E-02    4.19104E-03    5.28299E-03
  1.43957E+00    0.00000E+00    4.54056E-02    5.10580E-02    3.18034E-02   -2.61020E-02    4.18270E-03    5.28890E-03
  1.44774E+00    0.00000E+00    4.53607E-02    5.10868E-02    3.20785E-02   -2.64198E-02    4.17443E-03    5.29487E-03
  1.45592E+00    0.00000E+00    4.53146E-02    5.11149E-02    3.23582E-02   -2.67410E-02    4.16596E-03    5.30069E-03
  1.46410E+00    0.00000E+00    4.52683E-02    5.11448E-02    3.26425E-02   -2.70644E-02    4.15745E-03    5.30689E-03
  1.47228E+00    0.00000E+00    4.52210E-02    5.11747E-02    3.29308E-02   -2.73906E-02    4.14876E-03    5.31311E-03
  1.48046E+00    0.00000E+00    4.51736E-02    5.12040E-02    3.32240E-02   -2.77198E-02    4.14007E-03    5.31919E-03
  1.48864E+00    0.00000E+00    4.51248E-02    5.12342E-02    3.35222E-02   -2.80522E-02    4.13113E-03    5.32546E-03
  1.49682E+00    0.00000E+00    4.50767E-02    5.12644E-02    3.38250E-02   -2.83875E-02    4.12232E-03    5.33174E-03
  1.50500E+00    0.00000E+00    4.50268E-02    5.12946E-02    3.41318E-02   -2.87258E-02    4.11320E-03    5.33803E-03
  1.51318E+00    0.00000E+00    4.49760E-02    5.13249E-02    3.44435E-02   -2.90669E-02    4.10393E-03    5.34433E-03
  1.52136E+00    0.00000E+00    4.49246E-02    5.13554E-02    3.47607E-02   -2.94116E-02    4.09455E-03    5.35069E-03
  1.52953E+00    0.00000E+00    4.48730E-02    5.13863E-02    3.50828E-02   -2.97594E-02    4.08516E-03    5.35714E-03
  1.53771E+00    0.00000E+00    4.48211E-02    5.14167E-02    3.54101E-02   -3.01113E-02    4.07570E-03    5.36348E-03
  1.54589E+00    0.00000E+00    4.47686E-02    5.14469E-02    3.57425E-02   -3.04665E-02    4.06617E-03    5.36979E-03
